Row,Var1,Var2,Var3,Var4,Var5,Var6
20200323,-0.0245775720052462,-0.0125336587798614,-0.0159378158634683,-0.0142687838091846,-0.0110980257560351,-0.016271773754324
20200324,-0.0317209132442582,-0.0167462838402407,-0.0194008577383239,-0.0234699235859997,-0.0172314960282831,-0.0197797678894629
20200325,-0.0242809478631247,-0.0154927133412403,-0.0181178647557458,-0.017462374474664,-0.0113751002893609,-0.0157719188126893
20200326,-0.0228952197867101,-0.0148183153947804,-0.0140894082537442,-0.0129828078520398,-0.0100374614507706,-0.0136123090785997
20200327,-0.0225747137418445,-0.0120225257237402,-0.0106985197705589,-0.0145814718862242,-0.00777627839241675,-0.0122437312649403
20200330,-0.0223475821438108,-0.0121930463634518,-0.0122800029349755,-0.015707465700057,-0.00824816341364252,-0.0115366979666368
20200331,-0.0271293264046971,-0.0128366574144048,-0.0112110661967454,-0.0131637409124012,-0.00759265284836,-0.0129677360050954
20200401,-0.026151645201854,-0.0131938536325911,-0.0171923700675985,-0.0222519194273241,-0.0137028055624331,-0.020453104710067
20200402,-0.0228262446061902,-0.0119380441021169,-0.0113079238192596,-0.0125787880319102,-0.00815243194129088,-0.0149276741165709
20200403,-0.0223648857218439,-0.0132541352779254,-0.0122975839023219,-0.0156521606462766,-0.00900079137211509,-0.0129790507365178
20200407,-0.030855374596801,-0.013532937920846,-0.0153599237711189,-0.0151060408227111,-0.0092164404170101,-0.0163387136584781
20200408,-0.0237873555491516,-0.0141608437513284,-0.0118274727210134,-0.0139728995925594,-0.00910593320331388,-0.0142917279209477
20200409,-0.0247545477228381,-0.0119883333088106,-0.0125400698407288,-0.0168801674400735,-0.0107693677284088,-0.013276010608635
20200410,-0.0234432386640757,-0.0125076698227311,-0.0116143365503077,-0.0137884710757066,-0.00785138979680056,-0.0110631630891285
20200413,-0.0223930867212901,-0.0138110038753265,-0.0125471776227409,-0.0156475221644318,-0.00825989993241753,-0.012974611940118
20200414,-0.0270310188786798,-0.013574247293965,-0.0116200171313497,-0.0164271331212262,-0.00900374060006198,-0.0142352894024045
20200415,-0.0232798940062154,-0.0136270766721189,-0.0117672237896311,-0.0142468994237205,-0.00837213393375687,-0.0129263693129432
20200416,-0.0222969790052053,-0.0125997353566049,-0.0112112051391818,-0.0148784827298259,-0.00830533002159215,-0.0153018505345031
20200417,-0.0267439352126254,-0.0124618395056636,-0.0115916965992996,-0.0134005695659821,-0.00829649982648601,-0.0124417107242865
20200420,-0.0231281629594964,-0.0118999750370682,-0.0123156675002983,-0.0141447227766313,-0.00967981791100719,-0.0115735579469564
20200421,-0.0224415227392489,-0.0131510588460028,-0.0134989320518387,-0.0162133573632638,-0.0122881469430678,-0.0119669079836005
20200422,-0.0229917675018343,-0.0132240996291722,-0.0144910282732738,-0.0169550649359349,-0.00870327043646487,-0.0152265937542283
20200423,-0.0273365839553186,-0.0122197780428116,-0.0112657571743876,-0.013133886115745,-0.0122135915992234,-0.0134073874869999
20200424,-0.0228176870184581,-0.0122102099704876,-0.0125556709543157,-0.0172025155813617,-0.018825804167342,-0.0121575447665434
20200427,-0.0222350375117617,-0.0125340519360264,-0.0125869821016447,-0.0134005253027015,-0.013385190592822,-0.0121518793630754
20200428,-0.0226005317002271,-0.0130252533164274,-0.0129168280502045,-0.0157900779939778,-0.00884016886061953,-0.0139247796370383
20200429,-0.0222233535565947,-0.0119292758882708,-0.0117933005588899,-0.0134661850732308,-0.00922697064143755,-0.0117157817890153
20200430,-0.022998686285645,-0.016016644424872,-0.0128759363577928,-0.0186332832031821,-0.00984783739498487,-0.0155957430930994
20200506,-0.0242312734889723,-0.0123998017321309,-0.0117795659398321,-0.0126458023310783,-0.00918295399300628,-0.0123362291116166
20200507,-0.0259748851339386,-0.013478764450358,-0.0163166825577342,-0.0198451553659926,-0.0123684301289639,-0.0162565691532772
20200508,-0.0244372493295137,-0.0132272469970369,-0.0116894653702806,-0.0139355745705289,-0.00958448847271081,-0.0156128831665708
20200511,-0.0228781957818911,-0.0133211814551266,-0.0106543039359425,-0.0149607382580891,-0.00916419548080913,-0.0136465860366147
20200512,-0.0223099568651046,-0.0125798997324063,-0.0128592872559284,-0.0146597580561341,-0.00768666004180491,-0.0132264895432762
20200513,-0.0268199982231289,-0.0131824673715058,-0.0116202177171198,-0.0160498726030138,-0.0106684795718386,-0.0142657022045216
20200514,-0.0263553772625751,-0.0125785949407885,-0.0106530281377554,-0.0140286902468417,-0.00927543936036399,-0.0123423458227868
20200515,-0.0302610014903041,-0.0131943281195196,-0.0134793777218815,-0.0175358053109467,-0.00926253107320048,-0.0163401172854357
20200518,-0.0248370274801643,-0.0119380687782442,-0.0116390561085485,-0.013293744807307,-0.00769675166783832,-0.0119532254326393
20200519,-0.0231870101307381,-0.0124326210724949,-0.0112121144869222,-0.0141767704723739,-0.00753606457758477,-0.010936310190837
20200520,-0.0225517206434506,-0.012177744378879,-0.0117597087125057,-0.0158510559389918,-0.00823573631814097,-0.011433836812639
20200521,-0.0224463591625781,-0.0122070190726482,-0.010655598078409,-0.0137610552071388,-0.00830547282528015,-0.0114803808833939
20200522,-0.0246941197764952,-0.0125318667574665,-0.0125332210819497,-0.014356150125533,-0.0107229285639151,-0.0130396557844939
20200525,-0.0337388237967975,-0.0138512147760482,-0.0154475171434062,-0.0206581115624006,-0.0125673415410601,-0.0197206960377703
20200526,-0.0237417851588571,-0.0126255281515435,-0.0129695296978947,-0.0120723641430189,-0.00947867274548393,-0.0116811977028351
20200527,-0.0224857700964593,-0.0121921923243731,-0.011631534552532,-0.0145246803742926,-0.0092924966861812,-0.011514781534796
20200528,-0.0231223775434254,-0.012452018708356,-0.0128860133353351,-0.0144659309776029,-0.00913839981419849,-0.0133004903809483
20200529,-0.0223848808806009,-0.0130262690349719,-0.0134429164222157,-0.0151155242631321,-0.0091142702262254,-0.0122614859465237
20200601,-0.0238190772289332,-0.0125775061989434,-0.015399273782708,-0.0165537358099947,-0.0108059308696789,-0.0163855500590806
20200602,-0.022926454760516,-0.0133089925702128,-0.0129380531732131,-0.0138817279533674,-0.00928539951320858,-0.0143602114193959
20200603,-0.0226372718397447,-0.0125021757388664,-0.0123276169211968,-0.014004246882924,-0.00841113887272742,-0.0135449979207159
20200604,-0.0224212956889649,-0.0119020727598158,-0.0106660610505096,-0.014286673719857,-0.00902734100222173,-0.0121601460447777
20200605,-0.0222168987878451,-0.0131591449639397,-0.0115707036968494,-0.0154961410320991,-0.00767261544019816,-0.0141823637997359
20200608,-0.0221721885420719,-0.0122595674138925,-0.0122960717924911,-0.0141793794059474,-0.00753358761296517,-0.0135279426297908
20200609,-0.0221836001100924,-0.012862485483243,-0.0122999967255876,-0.01552679349278,-0.0082252658141723,-0.0143072010702285
20200610,-0.0222196966715363,-0.0124842119782879,-0.0117500394761925,-0.0141706224335455,-0.00759030299714848,-0.0129436947069013
20200611,-0.0262336496881107,-0.0132015733222376,-0.0111961182361993,-0.0155292952353463,-0.00906727755172929,-0.0142511726661578
20200612,-0.0322086499630366,-0.0132471110105664,-0.0106452146549269,-0.0164456321662057,-0.0107742508712348,-0.0154795562022775
20200615,-0.0255987759019462,-0.0122692784435723,-0.0152578777669188,-0.0139156273639379,-0.00785189092614822,-0.0112744794465717
20200616,-0.0266575077720649,-0.0125484595248653,-0.0118086817866808,-0.0208401577216586,-0.0138008265898469,-0.014135951987146
20200617,-0.0228564758030367,-0.013329769768274,-0.0138976462068708,-0.0129964055728127,-0.0103109897296204,-0.0129520912469499
20200618,-0.0231827084981179,-0.012228817054595,-0.0143687118728995,-0.0139382522627768,-0.00936428872738776,-0.0121181796692498
20200619,-0.0244375664447443,-0.0121711131636457,-0.0172004244326019,-0.0156324046137816,-0.00770719448073162,-0.0127514288030701
20200622,-0.0225065802852625,-0.0188496478130925,-0.0113038201500865,-0.0131851847980265,-0.0082512315639379,-0.0110128565664713
20200623,-0.026062820589101,-0.0122321788580453,-0.0143918460238558,-0.0145338199934072,-0.00915290738903573,-0.0108461303806144
20200624,-0.0236278522902037,-0.0129024329462326,-0.0125873150925365,-0.0154653830556186,-0.0108189522495425,-0.0151701727627644
20200629,-0.0226979858789105,-0.0128032323685562,-0.0150674978292071,-0.0148553661150749,-0.00929088152077311,-0.0142436587581224
20200630,-0.0222012248934218,-0.0125934439729401,-0.0123479343520863,-0.0160227327581172,-0.00841375641352081,-0.0211352979656464
20200701,-0.0221352061679998,-0.0122002666801082,-0.0362698272860525,-0.0140471496976994,-0.00832168706811896,-0.0212907586304366
20200702,-0.0227115645092943,-0.0142168338711861,-0.0116782337568399,-0.015250290668193,-0.00901816106911543,-0.0210892771019621
20200703,-0.0227564226466044,-0.0168452118861201,-0.014619818828969,-0.0171125417811122,-0.013263636765641,-0.0218994215300019
20200706,-0.0236133940613291,-0.0160290261627021,-0.0162794593238162,-0.0189715427275902,-0.011539232379421,-0.0173520394487771
